                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.2058,                0.84692,                 1.2121,                0.89109,                0.82661,                0.91272,                0.60017,                 1.1603,                0.79672,                 1.1752,               0.005149,               0.005149,               0.005149
                    101,                 1.2046,                0.84571,                 1.2117,                0.89161,                0.82614,                0.91273,                0.60035,                 1.1601,                0.79671,                 1.1751,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.2056,                0.84541,                 1.2099,                0.89236,                0.82611,                0.91279,                0.60024,                   1.16,                 0.7968,                  1.175,                0.00505,                0.00505,                0.00505
                    103,                 1.2001,                0.83965,                 1.2088,                0.89143,                0.82587,                0.91272,                0.60001,                 1.1596,                0.79616,                 1.1749,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.2007,                0.83937,                 1.2056,                0.89149,                0.82614,                0.91296,                0.60029,                 1.1594,                0.79617,                 1.1747,               0.004951,               0.004951,               0.004951
                    105,                 1.2024,                0.84197,                 1.2086,                0.89166,                0.82661,                0.91297,                 0.6004,                 1.1595,                0.79564,                 1.1747,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.2021,                0.84069,                 1.2097,                0.89125,                0.82603,                0.91285,                0.60035,                 1.1595,                 0.7951,                 1.1746,               0.004852,               0.004852,               0.004852
                    107,                 1.2032,                0.84225,                 1.2082,                0.89146,                0.82611,                0.91297,                0.60063,                 1.1589,                 0.7953,                 1.1744,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.2041,                0.84506,                 1.2127,                0.89158,                0.82623,                0.91329,                0.60072,                 1.1588,                0.79473,                 1.1742,               0.004753,               0.004753,               0.004753
                    109,                 1.1994,                0.84012,                 1.2072,                0.89205,                0.82614,                0.91337,                0.60077,                 1.1585,                0.79431,                  1.174,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.2009,                0.83785,                 1.2093,                0.89194,                0.82614,                0.91337,                0.60083,                 1.1584,                0.79369,                  1.174,               0.004654,               0.004654,               0.004654
                    111,                 1.2062,                0.84104,                 1.2108,                0.89232,                 0.8267,                0.91342,                0.60096,                 1.1584,                0.79294,                 1.1739,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.2056,                0.83907,                 1.2091,                0.89287,                0.82638,                0.91363,                 0.6009,                 1.1581,                0.79251,                 1.1738,               0.004555,               0.004555,               0.004555
                    113,                    1.2,                0.83744,                 1.2059,                 0.8934,                0.82603,                0.91361,                 0.6011,                 1.1582,                0.79264,                 1.1738,              0.0045055,              0.0045055,              0.0045055
                    114,                 1.2006,                0.83836,                 1.2057,                0.89311,                0.82649,                0.91367,                0.60108,                 1.1581,                0.79131,                 1.1735,               0.004456,               0.004456,               0.004456
                    115,                 1.1984,                0.83706,                 1.2092,                0.89326,                0.82706,                0.91378,                0.60108,                  1.158,                0.79094,                 1.1735,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.1996,                0.84038,                 1.2093,                0.89367,                0.82671,                0.91377,                0.60115,                 1.1577,                0.79083,                 1.1733,               0.004357,               0.004357,               0.004357
                    117,                 1.2007,                0.83599,                 1.2063,                0.89353,                0.82626,                0.91352,                0.60117,                 1.1578,                0.78953,                 1.1732,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.1978,                0.83593,                  1.208,                0.89305,                0.82624,                0.91355,                0.60099,                 1.1579,                 0.7895,                 1.1732,               0.004258,               0.004258,               0.004258
                    119,                 1.1976,                0.83486,                 1.2063,                 0.8935,                0.82603,                0.91353,                0.60116,                 1.1577,                0.78872,                  1.173,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.1972,                0.83417,                 1.2068,                0.89322,                0.82672,                0.91341,                0.60132,                 1.1577,                0.78747,                  1.173,               0.004159,               0.004159,               0.004159
                    121,                 1.2003,                0.83206,                 1.2043,                0.89294,                0.82719,                0.91356,                0.60109,                 1.1576,                0.78679,                 1.1729,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.1978,                0.83588,                 1.2052,                0.89351,                0.82614,                0.91369,                0.60131,                 1.1579,                0.78586,                 1.1728,                0.00406,                0.00406,                0.00406
                    123,                  1.196,                0.82822,                 1.2069,                0.89361,                0.82708,                0.91363,                0.60126,                 1.1578,                0.78432,                 1.1728,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.1985,                0.83239,                 1.2043,                0.89305,                 0.8272,                 0.9138,                0.60144,                 1.1577,                0.78376,                 1.1725,               0.003961,               0.003961,               0.003961
                    125,                 1.1948,                0.82914,                 1.2043,                0.89389,                0.82661,                0.91394,                0.60156,                 1.1579,                0.78316,                 1.1725,              0.0039115,              0.0039115,              0.0039115
                    126,                  1.193,                0.82782,                 1.2034,                0.89359,                0.82696,                0.91388,                0.60164,                 1.1578,                 0.7824,                 1.1724,               0.003862,               0.003862,               0.003862
                    127,                 1.1948,                0.83011,                 1.2033,                0.89438,                0.82697,                0.91387,                0.60173,                 1.1581,                0.78153,                 1.1725,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.1944,                0.82818,                 1.2032,                 0.8937,                0.82697,                0.91377,                0.60168,                 1.1581,                0.78124,                 1.1724,               0.003763,               0.003763,               0.003763
                    129,                 1.1963,                0.82845,                  1.205,                0.89413,                0.82685,                0.91406,                0.60177,                 1.1583,                0.77973,                 1.1723,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.1951,                0.82768,                 1.2001,                0.89294,                0.82721,                0.91406,                0.60184,                 1.1585,                0.77904,                 1.1723,               0.003664,               0.003664,               0.003664
                    131,                 1.1958,                0.82764,                 1.2037,                0.89351,                0.82722,                0.91445,                0.60206,                 1.1584,                0.77734,                 1.1722,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.1929,                0.82639,                 1.2035,                0.89363,                0.82734,                0.91405,                0.60193,                 1.1584,                0.77612,                 1.1722,               0.003565,               0.003565,               0.003565
                    133,                 1.1911,                0.82507,                 1.1995,                 0.8934,                0.82755,                0.91438,                 0.6018,                 1.1584,                0.77451,                 1.1721,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.1934,                 0.8258,                  1.202,                0.89443,                0.82661,                0.91418,                0.60178,                 1.1585,                0.77324,                 1.1721,               0.003466,               0.003466,               0.003466
                    135,                 1.1939,                0.82417,                 1.2015,                0.89487,                0.82649,                0.91443,                0.60183,                 1.1586,                0.77199,                  1.172,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.1916,                0.82442,                 1.2045,                0.89376,                0.82778,                0.91425,                0.60183,                 1.1584,                0.77155,                 1.1719,               0.003367,               0.003367,               0.003367
                    137,                 1.1939,                0.82575,                 1.2013,                0.89372,                0.82912,                0.91435,                0.60188,                 1.1584,                0.77066,                 1.1718,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.1885,                0.82029,                 1.1994,                0.89343,                0.82948,                0.91439,                 0.6019,                 1.1584,                0.77019,                 1.1717,               0.003268,               0.003268,               0.003268
                    139,                 1.1914,                0.82174,                 1.1988,                0.89313,                0.82931,                0.91442,                0.60221,                 1.1586,                0.76921,                 1.1717,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.1918,                0.82348,                 1.2007,                0.89357,                0.82878,                0.91436,                0.60221,                 1.1584,                 0.7679,                 1.1715,               0.003169,               0.003169,               0.003169
                    141,                 1.1898,                0.82259,                 1.2004,                0.89308,                0.82937,                0.91443,                0.60221,                 1.1583,                0.76749,                 1.1714,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.1902,                0.82119,                 1.1993,                0.89435,                0.82814,                 0.9142,                0.60225,                 1.1583,                0.76649,                 1.1713,                0.00307,                0.00307,                0.00307
                    143,                 1.1924,                0.82051,                 1.2023,                0.89332,                0.82856,                0.91432,                0.60225,                 1.1584,                0.76524,                 1.1713,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.1902,                0.81955,                 1.2004,                0.89478,                0.82802,                0.91445,                0.60227,                 1.1582,                 0.7645,                 1.1713,               0.002971,               0.002971,               0.002971
                    145,                 1.1916,                0.82247,                 1.2014,                0.89284,                0.82919,                0.91417,                0.60257,                  1.158,                0.76347,                 1.1711,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.1887,                0.82015,                 1.1975,                0.89439,                  0.828,                0.91422,                0.60247,                 1.1578,                0.76247,                 1.1709,               0.002872,               0.002872,               0.002872
                    147,                 1.1861,                 0.8161,                 1.1985,                0.89473,                 0.8279,                0.91405,                0.60253,                 1.1578,                0.76235,                 1.1708,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.1884,                0.81817,                 1.1999,                 0.8949,                0.82743,                0.91381,                0.60263,                 1.1577,                 0.7613,                 1.1706,               0.002773,               0.002773,               0.002773
                    149,                 1.1856,                0.81437,                 1.1986,                0.89475,                0.82719,                  0.914,                 0.6025,                 1.1573,                0.76002,                 1.1704,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.1835,                0.81552,                 1.1996,                0.89337,                0.82896,                0.91433,                0.60298,                 1.1572,                0.75974,                 1.1702,               0.002674,               0.002674,               0.002674
